@relation TestInstances

@attribute room {stube,kueche,nicola,tobias,joel,badgross,badklein,reduit,gang}
@attribute rss0 numeric
@attribute rss1 numeric
@attribute rss2 numeric
@attribute rss3 numeric
@attribute rss4 numeric
@attribute rss5 numeric
@attribute rss6 numeric
@attribute rss7 numeric

@data
badgross,-66,-70,-84,-84,-84,-84,-84,-84
badgross,-66,-75,-84,-84,-84,-84,-84,-84
badgross,-61,-76,-84,-84,-84,-84,-84,-84
badklein,-57,-81,-93,-93,-93,-93,-93,-93
badklein,-57,-77,-93,-93,-93,-93,-93,-93
badklein,-57,-77,-93,-93,-93,-93,-93,-93
badklein,-56,-82,-93,-93,-93,-93,-93,-93
badklein,-56,-75,-93,-93,-93,-93,-93,-93
badklein,-56,-69,-69,-81,-81,-81,-81,-81
badklein,-56,-69,-69,-81,-81,-81,-81,-81
badklein,-56,-76,-76,-85,-85,-85,-85,-85
badklein,-56,-79,-79,-85,-85,-85,-85,-85
badklein,-56,-86,-86,-83,-83,-83,-83,-83
badklein,-56,-86,-86,-83,-83,-83,-83,-83
badklein,-56,-77,-77,-83,-83,-83,-83,-83
badklein,-61,-70,-70,-83,-83,-83,-83,-83
badklein,-61,-71,-71,-78,-78,-78,-78,-78
badklein,-61,-72,-72,-80,-80,-80,-80,-80
badklein,-61,-69,-69,-84,-84,-84,-84,-84
badklein,-63,-69,-69,-84,-84,-84,-84,-84
badklein,-63,-70,-70,-83,-83,-83,-83,-83
badklein,-63,-65,-65,-81,-81,-81,-81,-81
badklein,-63,-69,-69,-78,-78,-78,-78,-78
badklein,-60,-65,-88,-88,-88,-88,-88,-88
badklein,-60,-72,-86,-86,-86,-86,-86,-86
badklein,-60,-69,-86,-86,-86,-86,-86,-86
badklein,-60,-65,-86,-86,-86,-86,-86,-86
badklein,-57,-68,-86,-86,-86,-86,-86,-86
badklein,-57,-72,-86,-86,-86,-86,-86,-86
badklein,-57,-78,-92,-92,-92,-92,-92,-92
badklein,-57,-75,-92,-92,-92,-92,-92,-92
badklein,-53,-67,-92,-92,-92,-92,-92,-92
badklein,-53,-71,-92,-92,-92,-92,-92,-92
reduit,-59,-70,-81,-81,-81,-81,-81,-81
reduit,-59,-75,-81,-81,-81,-81,-81,-81
reduit,-59,-72,-86,-86,-86,-86,-86,-86
reduit,-59,-70,-86,-86,-86,-86,-86,-86
reduit,-59,-74,-86,-86,-86,-86,-86,-86
reduit,-59,-74,-86,-86,-86,-86,-86,-86
reduit,-56,-71,-86,-86,-86,-86,-86,-86
reduit,-56,-75,-86,-86,-86,-86,-86,-86
reduit,-56,-75,-75,-80,-80,-80,-80,-80
reduit,-56,-70,-70,-79,-79,-79,-79,-79
reduit,-55,-68,-68,-75,-75,-75,-75,-75
reduit,-55,-74,-74,-81,-81,-81,-81,-81
reduit,-55,-74,-74,-77,-77,-77,-77,-77
reduit,-55,-63,-63,-78,-78,-78,-78,-78
reduit,-55,-63,-63,-78,-78,-78,-78,-78
reduit,-58,-67,-67,-80,-80,-80,-80,-80
reduit,-58,-66,-66,-70,-70,-70,-70,-70
reduit,-58,-70,-70,-71,-71,-71,-71,-71
reduit,-58,-64,-64,-67,-67,-67,-67,-67
reduit,-58,-70,-70,-83,-83,-83,-83,-83
reduit,-58,-78,-78,-83,-83,-83,-83,-83
reduit,-58,-73,-73,-71,-71,-71,-71,-71
reduit,-56,-72,-72,-75,-75,-75,-75,-75
gang,-60,-81,-81,-81,-81,-81,-81,-81
