@relation TestInstances

@attribute room {stube,kueche,nicola,badgross,badklein,reduit,tobias,joel,gang}
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
nicola,0,17,31,23,23,23,23,23,20.375,20.375,3.375,-10.625,-2.625,-2.625,-2.625,-2.625,-2.625
nicola,0,17,31,23,23,23,23,23,20.375,20.375,3.375,-10.625,-2.625,-2.625,-2.625,-2.625,-2.625
nicola,0,13,31,23,23,23,23,23,19.875,19.875,6.875,-11.125,-3.125,-3.125,-3.125,-3.125,-3.125
badgross,0,18,32,32,32,32,32,32,26.25,26.25,8.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
badgross,0,19,32,32,32,32,32,32,26.375,26.375,7.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
badgross,0,15,32,32,32,32,32,32,25.875,25.875,10.875,-6.125,-6.125,-6.125,-6.125,-6.125,-6.125
badgross,0,25,34,34,34,34,34,34,28.625,28.625,3.625,-5.375,-5.375,-5.375,-5.375,-5.375,-5.375
badgross,0,25,25,32,32,32,32,32,26.25,26.25,1.25,1.25,-5.75,-5.75,-5.75,-5.75,-5.75
badgross,0,25,25,32,32,32,32,32,26.25,26.25,1.25,1.25,-5.75,-5.75,-5.75,-5.75,-5.75
badgross,0,25,25,32,32,32,32,32,26.25,26.25,1.25,1.25,-5.75,-5.75,-5.75,-5.75,-5.75
badgross,0,29,29,35,35,35,35,35,29.125,29.125,0.125,0.125,-5.875,-5.875,-5.875,-5.875,-5.875
badgross,0,18,18,32,32,32,32,32,24.5,24.5,6.5,6.5,-7.5,-7.5,-7.5,-7.5,-7.5
badgross,0,15,15,26,26,26,26,26,20,20,5,5,-6,-6,-6,-6,-6
badgross,0,18,35,35,35,35,35,35,28.5,28.5,10.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5
badgross,0,18,32,32,32,32,32,32,26.25,26.25,8.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
badgross,0,14,32,32,32,32,32,32,25.75,25.75,11.75,-6.25,-6.25,-6.25,-6.25,-6.25,-6.25
badgross,0,19,32,32,32,32,32,32,26.375,26.375,7.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
badgross,0,19,32,32,32,32,32,32,26.375,26.375,7.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
badgross,0,16,31,31,31,31,31,31,25.25,25.25,9.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
badgross,0,11,31,31,31,31,31,31,24.625,24.625,13.625,-6.375,-6.375,-6.375,-6.375,-6.375,-6.375
badgross,0,17,31,31,31,31,31,31,25.375,25.375,8.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
badgross,0,12,31,31,31,31,31,31,24.75,24.75,12.75,-6.25,-6.25,-6.25,-6.25,-6.25,-6.25
badgross,0,13,30,30,30,30,30,30,24.125,24.125,11.125,-5.875,-5.875,-5.875,-5.875,-5.875,-5.875
badgross,0,5,5,18,18,18,18,18,12.5,12.5,7.5,7.5,-5.5,-5.5,-5.5,-5.5,-5.5
badgross,0,11,28,28,28,28,28,28,22.375,22.375,11.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
badgross,0,6,28,28,28,28,28,28,21.75,21.75,15.75,-6.25,-6.25,-6.25,-6.25,-6.25,-6.25
badgross,0,8,18,18,18,18,18,18,14.5,14.5,6.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5
badgross,0,4,24,24,24,24,24,24,18.5,18.5,14.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5
badgross,0,10,24,24,24,24,24,24,19.25,19.25,9.25,-4.75,-4.75,-4.75,-4.75,-4.75,-4.75
badklein,0,27,37,37,37,37,37,37,31.125,31.125,4.125,-5.875,-5.875,-5.875,-5.875,-5.875,-5.875
badklein,0,24,41,41,41,41,41,41,33.75,33.75,9.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
badklein,0,28,41,41,41,41,41,41,34.25,34.25,6.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
badklein,0,24,41,41,41,41,41,41,33.75,33.75,9.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
badklein,0,18,34,34,34,34,34,34,27.75,27.75,9.75,-6.25,-6.25,-6.25,-6.25,-6.25,-6.25
badklein,0,21,34,34,34,34,34,34,28.125,28.125,7.125,-5.875,-5.875,-5.875,-5.875,-5.875,-5.875
badklein,0,19,34,34,34,34,34,34,27.875,27.875,8.875,-6.125,-6.125,-6.125,-6.125,-6.125,-6.125
badklein,0,18,34,34,34,34,34,34,27.75,27.75,9.75,-6.25,-6.25,-6.25,-6.25,-6.25,-6.25
badklein,0,10,10,27,27,27,27,27,19.375,19.375,9.375,9.375,-7.625,-7.625,-7.625,-7.625,-7.625
badklein,0,12,26,26,26,26,26,26,21,21,9,-5,-5,-5,-5,-5,-5
badklein,0,12,26,26,26,26,26,26,21,21,9,-5,-5,-5,-5,-5,-5
badklein,0,11,26,26,26,26,26,26,20.875,20.875,9.875,-5.125,-5.125,-5.125,-5.125,-5.125,-5.125
badklein,0,10,26,26,26,26,26,26,20.75,20.75,10.75,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
badklein,0,4,22,22,22,22,22,22,17,17,13,-5,-5,-5,-5,-5,-5
badklein,2,0,24,24,24,24,24,24,18.25,16.25,18.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
badklein,0,1,22,22,22,22,22,22,16.625,16.625,15.625,-5.375,-5.375,-5.375,-5.375,-5.375,-5.375
badklein,0,8,22,22,22,22,22,22,17.5,17.5,9.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5
badklein,0,13,25,25,25,25,25,25,20.375,20.375,7.375,-4.625,-4.625,-4.625,-4.625,-4.625,-4.625
badklein,0,13,28,28,28,28,28,28,22.625,22.625,9.625,-5.375,-5.375,-5.375,-5.375,-5.375,-5.375
badklein,0,13,28,28,28,28,28,28,22.625,22.625,9.625,-5.375,-5.375,-5.375,-5.375,-5.375,-5.375
reduit,0,8,27,27,36,36,36,36,25.75,25.75,17.75,-1.25,-1.25,-10.25,-10.25,-10.25,-10.25
reduit,0,8,27,27,36,36,36,36,25.75,25.75,17.75,-1.25,-1.25,-10.25,-10.25,-10.25,-10.25
reduit,0,4,27,27,32,32,32,32,23.25,23.25,19.25,-3.75,-3.75,-8.75,-8.75,-8.75,-8.75
reduit,0,6,24,24,31,31,31,31,22.25,22.25,16.25,-1.75,-1.75,-8.75,-8.75,-8.75,-8.75
reduit,0,14,26,26,37,37,37,37,26.75,26.75,12.75,0.75,0.75,-10.25,-10.25,-10.25,-10.25
reduit,0,17,26,26,39,39,39,39,28.125,28.125,11.125,2.125,2.125,-10.875,-10.875,-10.875,-10.875
reduit,0,14,26,26,39,39,39,39,27.75,27.75,13.75,1.75,1.75,-11.25,-11.25,-11.25,-11.25
reduit,0,9,32,32,35,35,35,35,26.625,26.625,17.625,-5.375,-5.375,-8.375,-8.375,-8.375,-8.375
reduit,0,8,32,32,34,34,34,34,26,26,18,-6,-6,-8,-8,-8,-8
reduit,0,8,32,32,35,35,35,35,26.5,26.5,18.5,-5.5,-5.5,-8.5,-8.5,-8.5,-8.5
reduit,0,5,22,22,32,32,32,32,22.125,22.125,17.125,0.125,0.125,-9.875,-9.875,-9.875,-9.875
reduit,0,5,25,25,36,36,36,36,24.875,24.875,19.875,-0.125,-0.125,-11.125,-11.125,-11.125,-11.125
reduit,0,8,25,25,36,36,36,36,25.25,25.25,17.25,0.25,0.25,-10.75,-10.75,-10.75,-10.75
reduit,0,5,25,25,36,36,36,36,24.875,24.875,19.875,-0.125,-0.125,-11.125,-11.125,-11.125,-11.125
reduit,0,9,29,29,40,40,40,40,28.375,28.375,19.375,-0.625,-0.625,-11.625,-11.625,-11.625,-11.625
reduit,0,14,29,29,40,40,40,40,29,29,15,0,0,-11,-11,-11,-11
reduit,0,14,29,29,40,40,40,40,29,29,15,0,0,-11,-11,-11,-11
reduit,0,22,29,29,40,40,40,40,30,30,8,1,1,-10,-10,-10,-10
reduit,0,14,14,16,39,39,39,39,25,25,11,11,9,-14,-14,-14,-14
tobias,0,17,27,27,27,27,27,27,22.375,22.375,5.375,-4.625,-4.625,-4.625,-4.625,-4.625,-4.625
tobias,0,17,23,23,23,23,23,23,19.375,19.375,2.375,-3.625,-3.625,-3.625,-3.625,-3.625,-3.625
tobias,0,12,23,23,23,23,23,23,18.75,18.75,6.75,-4.25,-4.25,-4.25,-4.25,-4.25,-4.25
tobias,0,11,23,23,23,23,23,23,18.625,18.625,7.625,-4.375,-4.375,-4.375,-4.375,-4.375,-4.375
tobias,0,13,22,22,22,22,22,22,18.125,18.125,5.125,-3.875,-3.875,-3.875,-3.875,-3.875,-3.875
tobias,0,5,22,22,30,30,30,30,21.125,21.125,16.125,-0.875,-0.875,-8.875,-8.875,-8.875,-8.875
tobias,0,10,19,19,27,27,27,27,19.5,19.5,9.5,0.5,0.5,-7.5,-7.5,-7.5,-7.5
tobias,0,13,19,19,27,27,27,27,19.875,19.875,6.875,0.875,0.875,-7.125,-7.125,-7.125,-7.125
tobias,0,9,16,16,27,27,27,27,18.625,18.625,9.625,2.625,2.625,-8.375,-8.375,-8.375,-8.375
tobias,0,16,16,16,27,27,27,27,19.5,19.5,3.5,3.5,3.5,-7.5,-7.5,-7.5,-7.5
tobias,0,7,15,15,26,26,26,26,17.625,17.625,10.625,2.625,2.625,-8.375,-8.375,-8.375,-8.375
tobias,0,7,19,19,29,29,29,29,20.125,20.125,13.125,1.125,1.125,-8.875,-8.875,-8.875,-8.875
tobias,0,5,19,19,29,29,29,29,19.875,19.875,14.875,0.875,0.875,-9.125,-9.125,-9.125,-9.125
tobias,0,9,21,21,31,31,31,31,21.875,21.875,12.875,0.875,0.875,-9.125,-9.125,-9.125,-9.125
tobias,0,10,21,21,31,31,31,31,22,22,12,1,1,-9,-9,-9,-9
tobias,0,17,21,21,21,21,21,21,17.875,17.875,0.875,-3.125,-3.125,-3.125,-3.125,-3.125,-3.125
tobias,0,18,18,13,13,13,13,13,12.625,12.625,-5.375,-5.375,-0.375,-0.375,-0.375,-0.375,-0.375
tobias,0,12,12,19,19,19,19,19,14.875,14.875,2.875,2.875,-4.125,-4.125,-4.125,-4.125,-4.125
tobias,0,7,7,16,16,16,16,16,11.75,11.75,4.75,4.75,-4.25,-4.25,-4.25,-4.25,-4.25
tobias,0,7,7,18,18,18,18,18,13,13,6,6,-5,-5,-5,-5,-5
tobias,0,14,14,16,16,16,16,16,13.5,13.5,-0.5,-0.5,-2.5,-2.5,-2.5,-2.5,-2.5
tobias,0,14,14,16,16,16,16,16,13.5,13.5,-0.5,-0.5,-2.5,-2.5,-2.5,-2.5,-2.5
